miRNA	d8	d10	d4	d12	d5	d17	d35	d11	d18	d22	d7	d14	d2	d16	d6	d27	d9	d20	d1	d19	d15	d13	d3	d21	d23	d39	d24	d40	d42	d25	d26	d28	d29	d30	d31	d32	d33	d34	m3	m5	m7	d36	d37	d38	d41	m13	d45	d47	d46	d48	m11	d43	m1	m17	m9	d44	m2	m15	m8	m10	m19	m6	m18	m27	m28	m21	m12	m16	m4	m36	m22	m14	m38	m32	m20	m29	m23	m26	m30	m35	m34	m31	m39	m37	m40	m33	m24	m25
hsa-miR-181b-3p	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	3	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0
hsa-miR-502-5p	32	19	25	31	17	24	28	22	11	21	16	20	29	24	21	22	53	26	12	10	20	30	39	33	15	36	19	33	21	40	26	20	29	44	18	51	15	27	24	32	10	33	39	41	32	40	14	13	21	22	21	21	17	21	46	21	26	41	15	51	38	26	20	20	18	44	42	17	34	113	31	24	29	32	26	33	31	25	39	77	94	21	73	107	135	124	50	69
hsa-miR-502-3p	5	10	17	7	7	18	9	9	4	12	9	12	12	9	1	10	15	13	7	7	9	6	16	4	10	8	15	15	23	15	7	6	12	16	9	10	8	25	1	3	6	14	13	20	10	22	15	6	16	6	5	11	2	9	9	22	5	14	9	8	14	9	3	8	15	10	17	6	3	24	2	7	9	4	7	6	6	8	12	12	21	5	13	16	31	23	17	15
hsa-miR-665	5	7	7	4	9	11	8	4	8	9	11	3	3	3	5	3	6	5	5	11	13	6	10	10	11	10	4	4	5	10	8	4	5	5	12	7	5	7	0	0	3	1	5	3	9	0	0	3	3	4	0	6	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0
hsa-miR-362-5p	601	411	740	480	317	662	516	467	365	355	368	739	405	357	434	450	853	425	221	360	294	598	553	634	471	506	583	570	1089	848	689	429	801	811	346	877	508	504	176	511	118	561	697	750	867	606	766	401	693	723	250	875	236	615	787	921	456	634	211	757	782	313	467	300	534	846	854	367	482	1979	526	750	553	490	986	489	1041	478	783	760	1394	461	1321	2076	1980	2790	1724	730
hsa-miR-140-5p	15	14	29	12	11	23	7	10	9	16	14	14	19	7	9	7	24	18	9	16	8	9	19	37	18	20	18	15	11	20	13	11	13	21	10	10	13	10	0	0	1	20	16	21	24	3	7	8	14	7	1	6	0	1	0	13	8	7	0	1	0	3	0	1	1	2	7	4	0	5	0	1	2	6	0	0	0	1	0	2	1	4	0	4	0	2	3	1
hsa-miR-140-3p	92	57	145	66	45	84	48	63	51	71	97	50	73	27	76	44	102	110	46	59	56	40	106	94	77	74	113	68	86	113	80	65	86	85	40	86	38	50	3	7	0	54	62	69	96	5	65	33	65	69	1	60	1	5	4	96	0	8	12	4	3	1	2	0	1	2	8	5	13	7	6	1	1	6	6	1	5	4	18	9	1	2	2	6	7	5	8	2
hsa-miR-20b-3p	19	5	23	21	13	19	15	14	17	17	11	12	17	5	15	7	11	18	13	7	4	21	17	16	18	24	25	13	20	17	14	17	4	25	13	27	9	9	0	0	0	15	15	16	21	4	17	18	30	19	0	25	0	0	1	22	0	6	0	1	0	0	0	1	1	0	1	0	0	9	3	8	0	0	1	0	6	0	0	1	4	1	5	8	5	3	10	0
hsa-miR-20b-5p	404	217	582	264	186	416	205	195	319	324	192	166	294	204	215	127	476	479	150	343	154	214	409	406	266	224	633	233	318	236	202	153	177	160	71	286	153	151	27	49	7	294	167	270	428	87	320	211	470	425	30	359	11	29	116	585	44	69	40	95	25	33	16	14	67	22	197	84	98	110	30	86	27	60	70	49	21	32	113	46	62	35	40	119	98	72	83	87
hsa-miR-652-5p	88	94	99	122	46	58	91	78	46	67	51	96	57	63	40	84	137	69	27	39	77	84	70	74	65	85	72	114	46	130	110	76	90	123	58	108	81	80	7	19	5	145	95	127	65	34	64	59	79	78	19	56	9	15	37	85	11	26	6	31	13	8	10	7	17	21	37	16	10	83	14	35	15	17	33	9	31	15	33	21	44	13	39	94	70	69	41	21
hsa-miR-652-3p	9	6	11	5	8	12	8	6	5	5	12	12	7	11	6	5	12	16	2	0	4	3	6	6	13	16	14	14	6	29	8	8	14	17	13	13	14	7	2	5	20	7	4	11	16	12	1	8	7	10	1	17	2	5	6	3	6	15	15	5	3	9	2	4	2	1	12	45	3	4	0	8	2	4	2	3	0	1	6	4	6	0	6	10	8	9	11	11
hsa-miR-503-3p	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-503-5p	69	74	140	53	34	105	34	59	88	82	52	39	65	29	56	46	82	84	35	78	46	44	106	81	67	72	87	24	181	70	67	43	81	52	60	71	24	56	10	6	11	36	44	44	130	10	78	70	90	52	5	117	7	5	8	169	17	10	8	9	4	10	0	9	13	6	15	14	15	24	0	9	1	12	5	11	9	10	22	9	14	5	8	15	9	24	5	18
hsa-miR-26a-5p	1501	1080	1933	974	890	2230	1023	794	1177	1361	724	980	1206	888	963	1054	2157	1715	693	1432	665	1167	1803	1786	981	895	2036	993	1170	1989	1677	1030	1938	1914	531	1719	919	1104	62	105	87	1227	1429	1453	1543	177	1247	589	1153	1036	54	1212	42	52	147	1532	84	139	100	141	44	64	24	70	95	79	240	151	148	153	39	142	38	77	129	74	74	47	96	105	138	71	109	225	176	239	296	123
hsa-miR-1301-3p	126	101	197	106	117	114	127	117	97	71	84	114	89	121	102	105	221	89	49	53	73	114	126	71	69	108	104	125	297	200	149	98	210	167	104	137	109	96	51	135	57	105	148	174	206	272	166	135	180	194	108	253	72	157	350	272	106	299	86	225	197	125	94	88	117	177	351	133	135	592	130	219	186	78	274	60	152	71	124	278	495	72	416	627	871	1181	661	123
hsa-miR-19a-3p	9	2	7	7	2	10	5	6	3	2	2	1	4	1	3	4	4	0	11	3	5	7	1	5	3	8	7	11	1	9	8	9	2	8	3	7	4	2	0	6	1	9	6	2	5	7	4	1	9	1	0	4	2	7	3	5	4	2	1	4	6	4	1	0	6	0	13	0	11	12	2	6	2	0	7	2	1	4	5	10	8	0	0	8	7	9	2	2
hsa-miR-330-5p	12	2	9	8	3	4	2	0	3	4	4	8	5	2	4	4	3	8	1	2	4	2	3	4	4	3	2	2	3	4	0	5	3	6	3	3	4	3	0	0	1	6	9	3	6	2	4	0	3	4	2	1	0	0	1	2	0	3	0	0	2	0	0	6	3	2	11	7	0	11	0	6	0	1	1	1	0	0	0	1	0	0	3	2	2	6	0	0
hsa-miR-330-3p	36	22	60	21	18	28	22	18	19	25	12	32	25	21	28	22	37	23	22	24	18	37	29	41	16	27	43	34	49	49	50	39	49	36	28	55	26	22	13	23	10	39	44	25	43	48	39	30	55	57	21	42	18	39	49	65	22	78	30	65	57	18	27	51	105	35	80	41	48	183	41	64	35	63	72	34	45	61	114	42	107	52	58	134	180	184	191	85
hsa-miR-92b-5p	8	10	12	5	5	9	4	5	7	7	3	5	14	17	10	5	20	10	2	7	3	10	5	11	3	1	1	8	13	2	11	6	8	10	7	8	7	2	4	0	0	5	10	9	12	0	15	5	9	14	0	15	1	0	10	10	1	4	0	4	1	0	0	0	0	2	7	5	1	2	1	3	1	0	0	0	0	5	0	3	11	5	13	15	9	6	22	2
hsa-miR-92b-3p	161	79	231	117	119	328	111	123	184	153	131	89	178	65	128	192	197	229	100	182	75	117	178	200	114	137	246	112	178	271	281	154	319	238	166	199	123	156	1	5	2	146	189	171	154	23	183	129	173	136	7	210	0	17	27	198	4	31	3	19	18	6	0	3	3	8	36	15	5	21	11	26	13	1	13	9	11	2	7	25	47	3	26	41	49	56	52	1
hsa-miR-29a-3p	96	48	110	52	45	137	58	34	56	58	59	53	59	29	66	50	75	80	63	79	45	46	72	69	76	65	116	44	74	74	53	52	47	71	37	70	44	61	7	11	6	47	52	53	103	38	82	59	79	59	7	71	18	17	23	101	23	33	26	31	15	9	2	18	31	17	36	34	17	35	10	44	9	19	39	26	34	21	54	23	31	20	29	33	46	52	37	30
hsa-miR-29a-5p	2	1	4	4	11	7	0	0	4	7	1	0	5	3	4	3	1	5	6	5	1	3	10	3	5	3	5	3	11	8	3	2	1	3	3	2	2	5	0	2	4	8	3	3	9	3	4	0	11	0	2	4	4	10	6	12	4	9	3	1	4	3	6	1	0	7	12	2	15	7	2	10	1	3	5	2	4	2	9	6	5	6	2	29	2	11	10	8
hsa-let-7c-5p	176	116	196	118	74	133	74	93	121	103	113	84	135	102	113	101	271	128	88	92	140	92	144	131	93	146	122	74	85	264	146	107	93	139	67	133	113	109	12	22	22	124	122	164	146	20	66	69	141	51	15	96	8	10	17	119	27	33	6	28	20	19	9	6	19	17	38	24	29	38	16	36	6	10	14	14	15	19	25	32	40	15	34	50	38	52	34	36
hsa-miR-99a-5p	59	25	92	59	27	93	25	21	43	51	41	27	49	29	33	16	51	127	26	53	24	11	43	60	80	43	116	51	71	23	33	45	20	51	23	44	26	23	2	17	2	52	29	34	104	20	63	42	31	85	4	48	3	1	8	92	8	3	0	14	7	7	0	4	9	2	13	13	3	13	3	19	3	2	10	11	10	6	13	2	2	2	9	5	6	4	30	11
hsa-miR-30d-5p	425	449	484	554	272	642	401	378	294	385	208	459	358	333	253	318	996	456	219	383	300	460	484	435	301	368	524	484	374	692	510	385	575	517	175	565	418	528	48	129	46	564	587	635	570	249	434	244	530	467	114	457	65	133	256	566	80	230	83	265	100	95	61	77	119	107	445	249	166	310	108	313	95	80	220	73	126	48	111	242	282	54	232	505	436	665	499	127
hsa-miR-10400-5p	64	66	107	90	56	71	58	60	140	127	75	45	75	100	53	99	131	132	43	112	102	50	76	77	104	120	95	68	48	110	98	80	116	130	225	155	54	51	5	2	731	71	86	134	32	10	38	35	40	73	8	66	2	9	4	76	4	6	63	2	5	0	8	6	21	8	4	59	0	6	15	1	1	6	2	6	4	13	13	0	11	12	8	12	8	0	34	13
hsa-miR-454-3p	588	748	648	559	303	740	574	510	442	497	407	546	504	436	368	420	1478	516	228	485	434	621	696	558	350	556	545	451	667	858	543	412	604	461	228	669	522	543	113	166	52	582	711	822	731	430	497	313	563	464	213	674	81	275	643	728	191	541	163	519	273	123	152	100	159	266	928	385	282	970	158	376	164	160	405	113	281	110	259	320	659	135	461	1040	855	1091	855	197
hsa-miR-10b-5p	70	33	107	43	23	63	18	42	32	37	66	36	48	29	52	4	53	32	38	27	23	23	53	38	24	55	54	33	59	31	24	20	30	25	10	24	31	35	6	29	8	54	26	47	50	18	39	25	47	28	15	42	2	6	21	47	21	33	16	26	17	19	9	0	0	10	55	27	23	30	17	25	10	0	12	2	11	4	7	16	21	5	33	31	45	57	49	1
hsa-miR-494-3p	371	228	542	213	234	704	177	212	404	467	227	227	354	156	267	190	536	447	159	455	195	269	531	504	347	188	560	148	642	288	300	221	307	282	186	384	180	183	0	0	0	194	246	275	399	0	397	202	426	324	2	445	0	0	0	685	0	3	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-let-7a-5p	236	200	322	185	121	278	135	125	189	196	178	163	186	169	158	175	393	256	105	182	164	138	281	257	159	249	266	143	198	281	241	160	205	227	134	249	159	153	27	42	34	166	189	232	269	42	136	119	143	132	35	177	11	40	48	206	48	53	43	40	24	31	30	14	44	25	83	39	64	49	28	43	11	26	29	34	33	21	56	31	35	36	36	49	64	75	49	64
hsa-let-7a-3p	2	2	3	2	3	1	0	2	2	0	1	3	1	0	3	1	5	0	9	2	1	0	1	0	0	4	2	0	4	4	6	2	4	4	4	3	1	3	0	0	5	3	0	2	3	2	1	0	0	7	0	2	0	0	0	2	0	0	0	2	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	3	0	0	0
hsa-miR-500b-5p	222	183	289	266	116	260	255	194	140	140	158	264	166	145	180	174	344	172	98	125	135	260	246	243	195	305	232	226	271	367	247	234	322	305	164	381	200	227	182	344	140	293	264	278	260	379	250	171	237	253	145	252	150	229	330	240	439	440	261	376	272	268	120	260	509	296	410	228	405	1028	211	357	229	337	365	320	370	292	551	430	732	330	590	1094	968	1232	667	559
hsa-miR-500b-3p	2	0	1	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	3	0	2	1	0	2	0	3	0	1	0	0	0	0	0	3	1	1	1	0	3	0	1	0	0	3	3	1	0	2	4	4	1	0	0	0	1	1	0	0	0	2	0	0	0	3	0	0
hsa-miR-500a-5p	2	2	9	0	0	9	0	4	1	4	0	6	7	5	4	2	9	6	2	2	7	4	4	5	4	2	7	9	7	6	9	1	7	9	1	8	7	8	2	6	4	9	7	9	2	4	4	4	7	1	4	1	1	2	15	4	5	3	1	9	6	0	2	1	4	6	10	2	12	8	0	5	3	2	0	1	9	4	9	5	9	1	1	10	6	14	8	8
hsa-miR-500a-3p	28	9	43	32	23	46	24	15	22	15	26	21	13	23	15	30	31	25	12	34	17	30	47	29	25	31	35	24	50	49	33	27	31	35	19	56	18	24	0	7	1	24	40	47	19	11	25	11	26	24	11	28	5	7	24	48	12	25	12	42	7	3	1	9	31	2	24	15	12	31	5	27	4	13	14	20	16	16	28	26	32	12	24	33	42	83	64	28
hsa-miR-152-3p	221	98	296	121	105	209	91	87	136	130	157	106	142	65	139	136	208	178	77	129	82	99	191	196	150	123	207	131	168	226	199	172	244	215	128	216	87	143	12	20	4	170	142	172	201	41	139	96	163	178	22	175	3	16	51	255	22	48	14	44	25	20	3	25	17	11	72	43	33	40	14	50	5	27	18	40	19	30	39	28	27	19	32	60	52	67	57	33
hsa-miR-3195	21	29	33	25	25	19	8	7	28	39	29	10	12	33	24	22	52	29	26	35	46	34	23	25	25	36	18	20	17	26	17	28	31	43	121	53	12	20	3	2	4	14	26	19	4	4	9	10	1	41	1	14	7	5	1	19	13	1	10	0	0	7	1	4	2	5	4	2	3	4	3	0	3	0	1	4	4	5	5	1	7	2	10	0	5	0	22	4
hsa-miR-125b-5p	233	138	275	176	121	245	110	96	203	213	132	104	159	163	113	159	289	237	203	153	143	116	238	200	184	173	257	142	176	361	207	199	216	283	98	218	120	162	17	17	6	195	154	195	232	20	136	153	220	117	9	189	14	11	29	199	34	22	15	26	14	20	4	57	49	16	17	6	17	16	14	24	5	28	16	49	10	37	88	18	17	38	19	21	42	35	38	75
hsa-miR-125b-2-3p	31	3	82	17	21	47	4	9	17	40	22	3	34	9	40	13	18	36	3	25	11	13	23	32	16	11	39	15	25	5	3	6	17	16	8	12	12	7	0	1	0	11	28	7	34	2	30	17	12	19	6	32	0	2	2	23	0	7	0	1	10	2	0	1	3	2	12	4	0	3	1	8	2	2	2	0	5	0	0	4	0	0	4	3	5	7	38	0
hsa-miR-324-5p	113	88	141	96	54	108	85	83	73	83	79	82	103	77	67	82	197	116	35	80	70	92	114	105	90	102	119	101	95	163	102	94	126	135	71	137	65	93	5	32	12	104	107	134	105	38	73	49	87	89	15	89	5	22	37	142	17	42	21	58	15	16	10	18	37	30	86	25	33	36	6	58	22	16	49	16	25	11	28	33	47	4	37	81	61	57	73	46
hsa-miR-324-3p	4	0	3	4	2	6	0	0	2	2	4	1	0	2	0	0	6	2	5	1	1	2	14	1	5	2	0	1	0	6	2	2	7	6	6	3	2	4	2	0	0	2	4	4	2	1	0	0	3	0	0	2	1	0	0	0	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	1	4	0	2	1
hsa-miR-146a-5p	44	70	32	101	13	200	132	83	72	120	11	172	16	62	24	243	195	89	15	75	40	107	35	122	29	82	141	146	83	452	343	247	587	470	102	298	161	187	258	501	199	148	224	246	172	685	57	21	67	62	301	73	180	471	700	64	498	705	488	697	527	366	231	585	964	523	899	800	634	1134	314	953	347	687	657	622	487	602	966	773	1155	602	894	1442	1351	2225	2127	1223
hsa-miR-584-5p	18	8	27	9	13	13	14	9	26	18	18	8	5	5	12	9	19	16	9	17	10	8	25	24	8	17	24	19	35	14	12	14	14	16	9	17	18	15	0	0	1	12	12	9	15	2	21	9	24	29	1	23	1	3	2	32	0	2	1	0	4	4	1	2	2	2	1	4	3	5	0	1	2	0	1	0	6	4	1	2	2	4	2	5	13	10	9	1
hsa-miR-584-3p	2	1	3	0	0	0	0	0	10	0	1	1	4	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-342-5p	1	3	2	0	7	2	5	3	0	3	0	4	1	3	0	2	15	2	0	3	2	2	0	0	0	0	0	4	3	6	2	5	7	0	1	3	7	2	0	2	0	5	1	3	6	2	7	0	7	0	0	0	0	2	4	2	5	0	0	4	2	1	1	3	1	1	8	0	0	2	2	0	1	1	1	2	4	1	6	0	3	1	1	5	2	2	1	3
hsa-miR-342-3p	314	338	382	364	183	450	613	490	223	211	219	530	245	235	244	598	859	220	152	263	233	588	334	398	269	555	280	498	960	1047	809	384	844	740	312	656	524	623	139	287	101	477	742	792	795	918	747	395	746	555	235	870	115	365	573	751	245	855	232	579	591	185	225	652	365	615	1073	674	355	1010	345	951	317	501	759	557	576	297	497	510	826	347	639	1809	1148	1645	1996	498
hsa-miR-30a-5p	202	43	257	129	70	193	91	64	113	124	85	78	121	71	120	70	96	179	106	98	54	79	122	187	136	100	293	133	116	171	135	110	133	132	33	136	94	105	18	26	10	171	112	140	194	58	146	87	177	143	15	122	12	25	49	241	26	53	26	66	29	21	12	21	49	26	126	77	30	96	29	81	18	35	77	19	33	15	26	56	77	18	59	127	139	118	118	46
hsa-miR-30a-3p	4	2	8	5	3	5	4	2	2	0	1	4	5	5	2	0	3	3	2	4	1	1	3	5	3	1	6	2	3	6	1	1	4	3	2	8	3	3	2	4	0	0	5	1	2	0	3	5	4	4	1	7	1	0	0	4	4	2	0	1	1	0	0	0	5	0	3	1	0	2	2	0	0	6	0	0	0	4	0	1	2	2	1	3	1	3	5	4
hsa-miR-134-5p	100	96	113	86	74	151	83	88	70	88	76	55	99	53	73	56	176	95	43	95	71	88	130	113	92	91	115	53	103	114	84	57	66	60	78	101	88	64	0	0	0	82	75	113	108	0	81	83	75	94	0	104	0	0	0	109	0	1	0	0	1	0	0	0	0	1	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-28-5p	25	23	48	20	20	40	20	18	16	43	47	22	31	30	27	15	73	39	15	29	28	24	37	39	39	25	36	21	31	51	22	29	24	42	11	49	15	13	3	8	2	36	31	38	32	12	42	23	26	21	3	33	4	1	14	25	4	6	1	20	3	2	2	4	5	0	29	1	10	12	2	9	2	1	8	0	2	3	6	6	8	3	12	10	12	10	15	10
hsa-miR-28-3p	86	44	106	33	41	117	35	48	80	64	32	54	71	33	64	52	101	55	31	59	30	69	91	64	70	48	89	41	47	74	64	34	70	60	27	59	37	41	2	6	0	33	63	75	68	4	52	17	45	48	2	64	1	2	1	83	4	5	1	6	5	4	1	5	20	3	11	7	10	6	1	5	2	8	5	7	2	2	15	6	9	4	7	9	8	17	27	5
hsa-miR-4431	24	0	11	8	5	3	10	4	7	13	16	2	8	7	9	7	5	11	4	5	4	3	13	7	8	9	1	3	1	11	3	8	9	8	9	12	14	4	6	19	12	5	2	5	3	10	7	6	7	13	4	7	1	5	9	6	4	6	5	9	2	11	0	9	5	3	9	2	14	3	1	5	1	6	1	5	2	4	9	5	6	25	0	5	7	3	14	9
hsa-miR-376c-3p	68	41	78	38	46	97	31	27	68	47	42	47	65	12	60	40	58	98	19	50	41	48	76	75	64	45	111	34	51	73	51	31	42	52	27	49	42	40	0	0	0	38	56	56	59	0	55	56	47	42	0	68	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
hsa-miR-339-5p	70	37	85	48	34	84	36	38	56	51	25	42	43	65	41	35	61	43	30	51	23	43	68	69	23	21	63	28	38	54	55	33	70	64	22	67	34	23	5	18	8	31	45	47	49	34	53	19	68	66	5	56	11	13	19	56	3	18	15	13	17	6	4	7	13	20	57	32	46	38	8	32	6	23	33	11	8	5	23	31	20	4	12	32	41	56	101	24
hsa-miR-339-3p	25	17	33	28	13	28	19	15	8	16	12	18	17	12	17	20	31	20	13	18	11	20	21	20	23	23	30	22	19	29	37	20	32	39	22	33	17	25	0	2	2	26	27	37	33	15	19	15	31	18	5	36	2	10	13	38	2	7	9	9	5	7	2	3	4	8	14	6	13	17	5	10	4	10	12	7	12	7	8	16	20	11	22	27	12	38	26	10
hsa-miR-10395-5p	4	1	3	7	3	0	6	6	2	7	3	1	2	5	3	3	10	3	0	2	1	5	14	6	0	11	7	3	3	5	14	2	3	2	6	8	5	3	3	4	19	7	7	2	9	6	1	3	1	0	1	1	0	1	6	5	4	3	8	4	2	12	8	5	6	10	9	11	7	6	4	11	1	0	8	1	9	2	3	3	2	12	2	7	3	6	18	26
hsa-miR-10395-3p	33	15	25	46	36	16	41	9	25	15	61	30	26	35	29	14	33	12	33	18	42	32	24	23	52	157	12	78	14	23	30	29	32	30	45	93	39	34	8	12	44	69	32	65	13	15	20	22	13	36	3	11	7	0	8	11	18	24	15	15	16	30	6	25	22	9	22	33	18	11	11	14	4	49	10	129	34	10	104	11	6	58	6	6	14	14	50	42
hsa-miR-24-1-5p	2	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	1	0	0	0	1	1	2	0	0	2	0	0	0	3	1	1	1	0	0	1	2	2	0	0	0	0	1	2	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-181c-5p	79	102	112	97	69	117	105	97	66	46	52	77	92	65	55	91	173	88	41	81	54	77	77	91	65	98	100	97	49	211	126	93	154	158	26	123	96	108	0	1	0	139	119	164	126	0	84	33	100	75	0	101	0	5	3	113	0	0	0	5	5	1	0	1	3	11	3	0	4	4	0	2	0	2	2	1	0	0	2	0	0	0	4	4	1	1	1	0
hsa-miR-487b-5p	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
hsa-miR-487b-3p	11	10	7	6	1	6	3	6	3	4	3	5	1	2	10	1	0	9	2	7	3	3	5	8	4	7	9	0	1	6	6	7	5	7	2	7	1	2	0	0	0	4	2	3	5	0	3	2	3	3	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
hsa-miR-320b	9	4	18	3	7	16	7	6	1	3	5	7	6	4	3	18	9	11	7	5	5	7	5	6	6	13	7	7	6	15	14	9	14	16	12	10	11	10	0	1	1	6	18	10	7	0	5	3	8	14	1	9	2	0	0	16	1	2	0	0	4	1	0	0	3	2	1	1	0	1	0	2	0	1	0	1	0	2	4	2	0	2	0	2	0	3	1	1
hsa-miR-671-5p	244	249	425	265	158	311	286	241	261	192	284	247	256	127	150	273	458	317	122	244	191	255	344	267	226	365	297	167	363	396	349	228	312	295	204	297	285	208	82	148	62	211	240	285	294	144	304	184	245	295	84	356	103	108	163	383	173	274	112	176	132	106	47	126	208	108	236	106	203	312	80	140	59	195	152	138	127	118	200	105	178	142	189	292	309	405	366	239
hsa-miR-671-3p	3	0	0	1	0	0	0	0	0	3	0	1	1	0	0	2	0	0	0	1	1	0	3	2	0	5	3	0	3	0	0	1	0	2	0	0	1	4	0	0	0	0	0	0	0	2	0	2	1	6	1	0	0	4	1	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	5	0
hsa-miR-199a-3p	16	32	33	25	12	26	28	26	7	8	12	45	30	13	20	52	43	10	14	19	19	30	39	6	10	37	6	18	21	76	37	39	56	56	31	42	31	39	0	0	0	28	31	41	21	0	18	9	19	7	1	16	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3
hsa-miR-199b-3p	18	33	40	21	13	19	59	31	18	20	20	34	22	17	14	59	78	17	21	23	20	31	56	22	19	56	17	24	56	98	92	29	69	75	30	84	41	37	0	0	0	30	65	69	34	2	22	20	19	8	0	34	0	0	0	17	1	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	2	1
hsa-miR-130a-3p	159	146	260	161	86	147	147	116	94	94	123	139	164	108	112	100	252	171	70	128	86	112	178	151	104	143	164	134	146	256	180	128	214	236	77	179	130	147	26	55	13	177	149	171	185	72	156	82	148	127	26	154	6	41	51	232	36	62	24	97	17	24	14	20	61	27	139	57	77	42	21	58	10	24	36	32	74	19	17	46	40	17	49	102	65	70	83	36
hsa-miR-514b-5p	3	1	1	4	0	0	5	3	1	4	0	0	1	0	0	2	0	1	0	1	1	4	3	2	1	0	0	2	0	0	3	2	0	0	1	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	3	0	0	0	0	0	1	0	2	1	0	0	0	3	0	5	1	0	2	0	2	0	0	0	0	0	1	0	1	1	0	0	3	2	3	0	1
hsa-miR-744-5p	2	2	2	0	3	10	2	4	4	1	0	4	1	1	1	6	8	5	0	6	8	0	0	5	0	1	6	1	5	4	5	4	7	4	10	3	1	4	0	0	2	8	1	3	1	1	0	0	1	9	0	7	1	0	4	5	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	0	6	0	4	0	2	1	1	0	0	3	5	0	2	1
hsa-miR-744-3p	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	1	1	1	0	0	0	3	0	4	0	4	0	1	2	0	0	0	1	0	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0
hsa-miR-301a-3p	127	218	226	257	115	185	180	217	110	116	102	211	161	163	164	150	436	148	106	123	111	199	198	147	125	195	123	194	159	330	222	147	204	213	51	202	218	186	28	73	24	314	269	312	230	190	133	106	164	109	96	130	25	145	170	186	49	190	44	226	130	43	53	60	158	192	531	144	176	531	170	198	94	80	302	49	145	63	146	325	408	39	242	510	512	489	253	123
hsa-miR-9-5p	216	79	264	93	96	191	73	49	109	110	116	74	136	81	102	69	170	157	75	109	53	95	199	143	95	76	221	100	110	80	114	91	114	129	41	137	65	69	4	10	3	115	74	116	166	11	132	94	183	164	5	111	2	13	12	222	6	5	1	6	1	5	3	11	11	9	27	9	8	8	12	9	4	9	10	4	6	4	14	6	6	2	5	6	18	17	7	10
